
 num     #instances         #bytes  class name
 204:         24757         594168  java.net.InetSocketAddress
 205:         24341         584184  org.apache.ratis.protocol.RaftId$$Lambda$182/1261321871
 206:         10325         578200  org.apache.hadoop.thirdparty.protobuf.UnknownFieldSet$Field
 207:         10084         564704  java.util.LinkedHashMap$LinkedEntryIterator
 208:          4391         562048  org.apache.ratis.thirdparty.io.netty.buffer.PooledUnsafeDirectByteBuf
 209:          5853         561888  org.apache.hadoop.hdds.scm.pipeline.Pipeline$Builder
 210:          9854         551824  org.apache.hadoop.ipc.Server$RpcCall$ResponseParams
 211:         22830         547920  java.util.concurrent.atomic.AtomicReference
 212:         13258         530320  java.util.AbstractList$Itr
 213:          5985         526680  org.apache.hadoop.ipc.protobuf.ProtobufRpcEngineProtos$RequestHeaderProto$Builder
 214:         21836         524064  org.apache.hadoop.ipc.RpcWritable$Buffer
 215:         10903         523344  java.util.Collections$UnmodifiableMap
 216:         16645         514840  [Ljava.lang.Class;
 217:         15409         493088  org.apache.commons.lang3.tuple.ImmutablePair
 218:         12309         492360  java.io.FileDescriptor
 219:         20333         487992  java.util.Optional
 220:          5988         479040  org.apache.hadoop.ipc.protobuf.ProtobufRpcEngineProtos$RequestHeaderProto
 221:          5987         478960  org.apache.hadoop.ipc.Client$Call
 222:         14953         478496  com.google.common.collect.Sets$2
 223:          9844         472512  javax.security.auth.SubjectDomainCombiner
 224:          5896         471680  org.apache.hadoop.hdds.protocol.proto.HddsProtos$BlockID$Builder
 225:         11664         466560  org.apache.hadoop.ozone.om.helpers.OzoneFileStatus
 226:         10990         453560  [Ljava.security.ProtectionDomain;
 227:           640         435200  org.apache.ratis.thirdparty.io.netty.util.internal.shaded.org.jctools.queues.MpscArrayQueue
 228:          5987         431064  org.apache.hadoop.io.retry.RetryInvocationHandler$Call
 229:          5900         424800  org.apache.hadoop.ozone.om.helpers.OmKeyLocationInfo
 230:          5898         424656  org.apache.hadoop.ozone.om.helpers.OmKeyLocationInfo$Builder
 231:          5896         424512  org.apache.hadoop.hdds.protocol.proto.HddsProtos$ContainerBlockID$Builder
 232:         10277         411080  java.lang.ref.ReferenceQueue
 233:         17037         408888  java.util.HashSet
 234:         12703         406496  org.apache.hadoop.security.UserGroupInformation
 235:          9954         398160  org.apache.hadoop.ozone.audit.AuditMessage
 236:          9854         394160  org.apache.hadoop.ipc.ProtobufRpcEngine2$RpcProtobufRequest
 237:           832         390656  [Lio.netty.buffer.PoolSubpage;
 238:         15987         383688  java.lang.Boolean
 239:         11748         375936  org.apache.ratis.thirdparty.io.netty.buffer.IntPriorityQueue
 240:          5858         374912  org.apache.hadoop.hdds.protocol.proto.StorageContainerLocationProtocolProtos$GetContainerWithPipelineBatchRequestProto
 241:          5854         374656  org.apache.hadoop.hdds.protocol.proto.HddsProtos$ContainerWithPipeline
 242:         14953         358872  org.apache.hadoop.ozone.om.OmMetadataReader$$Lambda$665/2116476467
 243:          6203         347368  java.util.ArrayList$SubList
 244:          2540         345440  java.lang.reflect.Constructor
 245:          3922         345008  [S
 246:         10400         332800  java.util.concurrent.LinkedBlockingQueue$Node
 247:           539         332144  [Ljava.util.Hashtable$Entry;
 248:          4608         331776  io.netty.buffer.PoolChunkList
 249:          4608         331776  org.apache.ratis.thirdparty.io.netty.buffer.PoolChunkList
 250:          4128         330240  java.util.concurrent.locks.ReentrantReadWriteLock$NonfairSync
 251:          5854         327824  org.apache.hadoop.hdds.protocol.proto.StorageContainerLocationProtocolProtos$GetContainerWithPipelineBatchResponseProto
 252:          9918         317376  [Ljava.io.Closeable;
 253:          9856         315392  org.apache.hadoop.thirdparty.protobuf.FieldSet
 254:          9834         314688  org.apache.hadoop.ipc.ProtobufRpcEngine2$Server$CallInfo
 255:          9829         314528  javax.security.auth.Subject$2
 256:          6203         297744  java.util.ArrayList$SubList$1
 257:          6184         296832  org.apache.hadoop.ipc.ResponseBuffer
 258:           497         294224  org.apache.ratis.thirdparty.io.netty.util.internal.shaded.org.jctools.queues.MpscChunkedArrayQueue
 259:         12254         294096  java.nio.channels.spi.AbstractInterruptibleChannel$1
 260:          5999         287952  java.util.concurrent.SynchronousQueue$TransferQueue$QNode
 261:          5984         287232  com.google.protobuf.GeneratedMessage$ExtendableMessage$ExtensionWriter
 262:         11707         280968  org.apache.hadoop.hdds.scm.container.ContainerID
 263:         10908         261792  java.util.HashMap$EntrySet
 264:          4020         257280  org.apache.hadoop.ozone.protocol.proto.OzoneManagerProtocolProtos$InfoBucketRequest
 265:         10325         247800  org.apache.hadoop.thirdparty.protobuf.UnknownFieldSet
 266:          2187         244944  io.netty.handler.codec.http2.WeightedFairQueueByteDistributor$State
 267:         10150         243600  java.util.LinkedHashMap$LinkedEntrySet
 268:          5991         239640  org.apache.hadoop.io.retry.CallReturn
 269:          5987         239480  org.apache.hadoop.ipc.ProtobufRpcEngine$RpcProtobufRequest
 270:          5985         239400  org.apache.hadoop.ipc.Client$$Lambda$90/764358458
 271:          5984         239360  com.google.protobuf.SmallSortedMap$EntryIterator
 272:          9960         239040  org.apache.hadoop.ozone.protocolPB.OzoneManagerProtocolServerSideTranslatorPB$$Lambda$762/1683007406
 273:          5900         236000  org.apache.hadoop.ozone.om.helpers.OmKeyLocationInfoGroup
 274:          5898         235920  java.util.stream.Collectors$$Lambda$704/1162857330
 275:          3263         234936  org.apache.hadoop.ozone.protocol.proto.OzoneManagerProtocolProtos$LookupFileResponse$Builder
 276:          4018         225008  org.apache.hadoop.ozone.protocol.proto.OzoneManagerProtocolProtos$InfoBucketResponse
 277:          1833         219960  java.lang.reflect.Field
 278:          3167         202688  org.apache.hadoop.ipc.protobuf.RpcHeaderProtos$RPCCallerContextProto
 279:          6184         197888  org.apache.hadoop.ipc.ResponseBuffer$FramedBuffer
